申込日,売残_株数(百万株),売残_前週比(%),売残_金額(百万円),売残金額_前週比(%),買残_株数(百万株),買残_前週比(%),買残_金額(百万円),買残金額_前週比(%),評価損益率(%),信用倍率
2001/06/01,993,+8.6,9003,+186.2,2959,-19.5,18189,+364.6,-7.91,2.02
2001/06/08,1012,+18.3,8992,-10.8,2954,-5.4,18364,+175.8,-6.45,2.04
2001/06/15,1040,+28.2,9207,+215.1,2972,+18.2,18697,+332.6,-10.26,2.03
2001/06/22,1061,+20.8,9251,+44.2,2902,-70.1,18185,-512.3,-8.34,1.97
2001/06/29,1108,+47.4,9736,+484.4,2926,+23.4,18155,-29.7,-9.71,1.86
2001/07/06,1072,-36,9410,-325.8,2884,-41.3,17965,-189.7,-13.98,1.91
2001/07/13,1056,-16.7,9281,-129.5,2831,-53.9,17563,-402.3,-14.45,1.89
2001/07/20,1054,-2,8913,-367.5,2766,-64.5,17125,-437.9,-18.11,1.92
2001/07/27,1009,-44.8,9067,+153.5,2670,-96,16476,-649.6,-18.75,1.82
2001/08/03,1047,+37.7,9259,+192.5,2613,-57,15807,-668.4,-17.21,1.71
2001/08/10,1082,+35.2,9155,-104.2,2628,+14.8,15918,+110.9,-18.73,1.74
2001/08/17,1107,+25.4,9061,-93.8,2613,-15.1,15890,-29,-18.51,1.75
2001/08/24,1146,+39,9358,+296.5,2616,+2.5,15680,-209.5,-19.63,1.68
2001/08/31,1113,-33.2,9015,-343.1,2590,-26,15376,-304.5,-22.82,1.71
2001/09/07,1113,-0.6,9088,+73.4,2518,-71.9,14770,-605.6,-25.48,1.63
2001/09/14,1009,-103.7,8299,-789.3,2350,-168.1,13734,-1036.3,-27.94,1.65
2001/09/21,1000,-8.8,8139,-159.9,2337,-12.6,13416,-318.1,-30.75,1.65
2001/09/28,960,-40.3,7683,-456.2,2248,-89,12838,-577.7,-30.04,1.67
2001/10/05,954,-6.1,8083,+399.9,2212,-36,12492,-345.7,-27.37,1.55
2001/10/12,1020,+65.5,9055,+972.1,2187,-25.6,12190,-302.2,-26.38,1.35
2001/10/19,993,-26.5,8311,-744,2223,+36.4,12282,+92,-24.99,1.48
2001/10/26,1177,+183.8,10147,+1836.1,2211,-11.9,11998,-284.5,-22.79,1.18
2001/11/02,1176,-0.7,9904,-243.6,2227,+15.8,12028,+30,-24.28,1.21
2001/11/09,1297,+120.6,11009,+1105.4,2185,-41.9,11454,-574.1,-24.46,1.04
2001/11/16,1324,+26.7,11514,+504.6,2158,-27.8,10845,-608.6,-22.52,0.94
2001/11/23,1276,-47.6,10908,-605.5,2164,+6.6,10684,-161,-20.42,0.98
2001/11/30,1266,-10.5,10971,+62.2,2185,+21.1,10727,+42.8,-19.6,0.98
2001/12/07,1310,+44.5,10911,-60,2166,-19.8,10280,-447.5,-20.07,0.94
2001/12/14,1445,+134.8,11839,+928.6,2184,+18.4,10468,+188.6,-20.99,0.88
2001/12/21,1405,-40.1,10586,-1253.4,2082,-102,9891,-577.1,-20.26,0.93
2002/01/04,1262,-143.1,9136,-1450,2004,-77.9,9134,-757.2,-16.18,1
2002/01/11,1385,+123.3,10178,+1042.2,2047,+42.5,9438,+304,-18.57,0.93
2002/01/18,1373,-12.5,9792,-386,2043,-3.9,9663,+225,-15.98,0.99
2002/01/25,1410,+37.4,10023,+230.6,2073,+29.6,9892,+228.9,-16.54,0.99
2002/02/01,1381,-29.2,9969,-53.4,2131,+58.7,10302,+409.9,-18.19,1.03
2002/02/08,1378,-2.8,10050,+81,2140,+8.9,10313,+11,-17.41,1.02
2002/02/15,1406,+27.9,10553,+502.5,2120,-20.1,9966,-347.5,-15.5,0.94
2002/02/22,1368,-38.3,10094,-458.3,2127,+6.9,10012,+46.3,-13.99,0.99
2002/03/01,1445,+76.9,10940,+845.9,2129,+1.5,9783,-229.3,-10.44,0.89
2002/03/08,1548,+103.1,13422,+2481.7,2130,+1,9755,-27.9,-6.6,0.72
