code,pub,fy_end,eps,ni,kind,tid,note
9101,2005-08-08 15:00:00,2006-03,73.72,90000.0,tanshin,wbf829587a5b50,
9101,2005-11-15 15:00:00,2006-03,75.37,92000.0,tanshin,wb4276e667015b,noeps
9101,2006-02-09 15:00:00,2006-03,69.64,85000.0,tanshin,wbd142df0581f2,
9101,2006-08-04 15:00:00,2007-03,48.02,59000.0,tanshin,wbf65ca1d68b49,
9101,2006-11-09 15:00:00,2007-03,55.34,68000.0,tanshin,wbaf56ad531f0d,noeps
9101,2007-02-08 15:00:00,2007-03,53.31,65500.0,tanshin,wbb044a630682b,
9101,2007-05-09 15:00:00,2008-03,66.75,82000.0,tanshin,wb02e7e3f04185,
9101,2007-07-26 15:00:00,2008-03,81.41,100000.0,tanshin,wbbc86c700efab,
9101,2008-10-27 15:00:00,2009-03,114.02,140000.0,tanshin,wb8a188c8e927d,
9101,2009-01-30 15:00:00,2009-03,59.45,73000.0,tanshin,wb858ae4b6e3d0,
9101,2009-07-27 15:00:00,2010-03,-4.07,-5000.0,tanshin,wb42721f02e110,
9101,2010-04-27 15:00:00,2011-03,20.61,35000.0,tanshin,wbe3091b24f24e,
9101,2011-07-29 15:00:00,2012-03,2.95,5000.0,revision,wb18b41a65b2c6,
9101,2011-07-29 15:00:00,2012-03,2.95,5000.0,tanshin,wb0cf9f14f0d86,
9101,2011-10-31 15:00:00,2012-03,-10.61,-18000.0,tanshin,wb569230bfa39f,
9101,2012-01-31 15:00:00,2012-03,-15.32,-26000.0,revision,wbfa7ed0a0b78c,
9101,2012-01-31 15:00:00,2012-03,-15.32,-26000.0,tanshin,wbd04c78f3fff7,
9101,2012-04-20 15:00:00,2012-03,-43.02,-73000.0,revision,wbd99fda405613,
9101,2012-04-27 15:00:00,2013-03,13.56,23000.0,tanshin,wbef7e8c21c7bc,
9101,2012-07-31 15:00:00,2013-03,11.79,20000.0,tanshin,wbdaea377886e2,
9101,2012-09-28 15:00:00,,,,revision,wb02513a36336e,notable
9101,2012-10-31 15:00:00,2013-03,0.59,1000.0,tanshin,wbfe79a6a963a6,
9101,2013-01-31 15:00:00,2013-03,3.54,6000.0,tanshin,wb744714f5b898,
9101,2013-01-31 15:00:00,2013-03,3.54,6000.0,revision,wb770e8d7bc088,
9101,2013-04-23 15:00:00,,,,revision,wbcd737316c043,undisclosed
9101,2013-04-30 15:00:00,2014-03,15.92,27000.0,tanshin,wb548b0c29bbaa,
9101,2013-10-31 12:00:00,2014-03,17.69,30000.0,tanshin,140120131023042379,
9101,2013-10-31 12:00:00,,,,revision,140120131030047941,notable
9101,2014-01-31 12:00:00,2014-03,17.69,30000.0,tanshin,140120140127092268,
9101,2014-04-30 12:00:00,2015-03,20.64,35000.0,tanshin,140120140407034337,
9101,2014-07-31 12:00:00,2015-03,20.64,35000.0,tanshin,140120140703008042,
9101,2014-10-31 12:00:00,2015-03,20.64,35000.0,tanshin,140120141030069400,
9101,2014-10-31 12:00:00,,,,revision,140120141031070369,notable
9101,2015-01-30 12:00:00,2015-03,23.58,40000.0,tanshin,140120141222097312,
9101,2015-04-30 12:00:00,2016-03,32.43,55000.0,tanshin,140120150415440435,
9101,2015-07-31 12:00:00,2016-03,32.43,55000.0,tanshin,140120150730464164,
9101,2015-10-30 12:00:00,2016-03,27.71,47000.0,tanshin,140120151028427401,
9101,2016-01-29 12:00:00,2016-03,14.74,25000.0,tanshin,140120160126495876,
9101,2016-04-28 12:00:00,2017-03,8.84,15000.0,tanshin,140120160414457700,
9101,2016-07-29 12:00:00,2017-03,-8.85,-15000.0,tanshin,140120160728460890,
9101,2016-07-29 12:00:00,2017-03,-8.85,-15000.0,revision,140120160728461138,
9101,2016-10-31 12:00:00,2017-03,-144.96,-245000.0,tanshin,140120161028425078,
9101,2017-01-31 12:00:00,2017-03,-144.96,-245000.0,tanshin,140120170130485462,
9101,2017-01-31 12:00:00,2017-03,-144.96,-245000.0,revision,140120170130484482,
9101,2017-04-28 12:00:00,2018-03,2.96,5000.0,tanshin,140120170417443413,
9101,2017-04-28 12:00:00,,,,revision,140120170427453708,notable
9101,2017-07-31 12:00:00,2018-03,29.65,5000.0,tanshin,140120170728442053,
9101,2017-10-31 12:00:00,2018-03,65.22,11000.0,tanshin,140120171030402483,
9101,2017-10-31 12:00:00,2018-03,65.22,11000.0,revision,140120171031404086,
9101,2018-01-31 12:00:00,2018-03,65.22,11000.0,tanshin,140120180130459221,
9101,2018-04-27 12:00:00,2019-03,171.94,29000.0,tanshin,140120180426421387,
9101,2018-04-27 12:00:00,,,,revision,140120180427422760,notable
9101,2018-07-25 18:30:00,2019-03,71.14,12000.0,revision,140120180725485263,
9101,2018-07-31 12:00:00,2019-03,71.14,12000.0,tanshin,140120180730487419,
9101,2018-10-16 15:00:00,2019-03,,,revision,140120181016418312,noeps
9101,2018-10-31 12:00:00,2019-03,-35.57,-6000.0,tanshin,140120181030425303,
9101,2018-10-31 12:00:00,2019-03,-35.57,-6000.0,revision,140120181031426743,
9101,2019-01-31 12:00:00,2019-03,-5.93,-1000.0,tanshin,140120190130466109,
9101,2019-01-31 12:00:00,2019-03,-5.93,-1000.0,revision,140120190131466718,
9101,2019-04-26 08:30:00,2020-03,154.12,26000.0,tanshin,140120190425410678,
9101,2019-04-26 08:30:00,,,,revision,140120190425412020,notable
9101,2019-07-31 12:00:00,2020-03,153.97,26000.0,tanshin,140120190730478842,
9101,2019-10-31 12:00:00,2020-03,154.0,26000.0,tanshin,140120191030415109,
9101,2020-01-31 12:00:00,2020-03,171.77,29000.0,tanshin,140120200130453208,
9101,2020-05-25 12:00:00,2021-03,,,tanshin,140120200522421851,undisclosed
9101,2020-08-05 12:00:00,2021-03,79.96,13500.0,tanshin,140120200804473769,
9101,2020-08-05 12:00:00,2021-03,79.96,13500.0,revision,140120200805474692,
9101,2020-09-24 12:00:00,,,,revision,140120200923494730,notable
9101,2020-11-05 12:00:00,2021-03,207.28,35000.0,tanshin,140120201104414919,
9101,2020-12-24 15:00:00,,,,revision,140120201224438881,notable
9101,2021-02-03 12:00:00,2021-03,533.0,90000.0,tanshin,140120210202453774,
9101,2021-02-03 12:00:00,2021-03,533.0,90000.0,revision,140120210203454453,
9101,2021-04-28 15:30:00,2021-03,829.11,140000.0,revision,140120210428403155,
9101,2021-05-10 12:00:00,2022-03,829.12,140000.0,tanshin,140120210507407477,
9101,2021-07-01 15:00:00,2022-03,2072.8,350000.0,revision,140120210630459702,
9101,2021-08-04 12:00:00,2022-03,2960.37,500000.0,tanshin,140120210803477128,
9101,2021-11-04 12:00:00,2022-03,4202.88,710000.0,tanshin,140120211102423021,
9101,2022-02-03 12:00:00,2022-03,5505.46,930000.0,tanshin,140120220202578175,
9101,2022-05-26 15:00:00,,,,revision,140120220524556433,notable
9101,2022-07-21 15:00:00,2023-03,5674.54,960000.0,revision,140120220720502246,
9101,2022-08-03 12:00:00,2023-03,1891.51,960000.0,tanshin,140120220802509999,
9101,2022-11-04 12:00:00,2023-03,2028.12,1030000.0,tanshin,140120221102555556,
9101,2023-02-03 12:00:00,2023-03,1969.05,1000000.0,tanshin,140120230202599173,
9101,2023-05-09 12:00:00,2024-03,393.81,200000.0,tanshin,140120230508559606,
9101,2023-08-03 12:00:00,2024-03,432.92,220000.0,tanshin,140120230802532558,
9101,2023-11-06 12:00:00,2024-03,441.67,220000.0,tanshin,140120231102578254,
9101,2024-02-05 12:00:00,2024-03,408.06,200000.0,tanshin,140120240202525231,
9101,2024-05-08 12:00:00,2025-03,533.61,245000.0,tanshin,140120240507582980,
9101,2024-07-22 15:00:00,2025-03,855.91,390000.0,revision,140120240722552390,
9101,2024-08-05 12:00:00,2025-03,855.91,390000.0,tanshin,140120240802561430,
9101,2024-11-06 12:00:00,2025-03,863.71,390000.0,tanshin,140120241105511032,
9101,2025-02-05 12:00:00,2025-03,1005.81,450000.0,tanshin,140120250203560961,
9101,2025-05-08 12:00:00,2026-03,560.13,250000.0,tanshin,140120250507531916,
9101,2025-08-05 12:00:00,2026-03,560.18,240000.0,tanshin,140120250804528923,
9101,2025-11-06 12:00:00,2026-03,495.07,210000.0,tanshin,140120251105587533,
9101,2026-02-04 12:00:00,2026-03,499.64,210000.0,tanshin,140120260203545444,
9101,2026-05-11 12:10:00,2027-03,464.91,195000.0,tanshin,140120260508520390,
9101,2026-07-30 15:30:00,2027-03,594.49,240000.0,revision,140120260729501699,
9101,2026-08-05 12:00:00,2027-03,594.49,240000.0,tanshin,140120260804508407,
9104,2000-05-25 15:00:00,2001-03,1.63,,tanshin,wb9829647a66fb,noeps
9104,2001-05-25 15:00:00,2002-03,19.1,,tanshin,wb1edbbb586239,noeps
9104,2002-05-25 15:00:00,2003-03,12.47,,tanshin,wb81dc34636cc1,noeps
9104,2003-05-25 15:00:00,2004-03,31.61,38000.0,tanshin,wb84b97675f9bc,noeps
9104,2003-11-25 15:00:00,2004-03,35.09,42000.0,tanshin,wb308d15439ea2,noeps
9104,2004-05-25 15:00:00,2005-03,51.69,62000.0,tanshin,wb3a18c8f5515e,noeps
9104,2005-02-25 15:00:00,2005-03,78.6,94000.0,tanshin,wb4fc82b6c0975,noeps
9104,2005-05-25 15:00:00,2006-03,94.43,113000.0,tanshin,wb5c25ae7aed2d,noeps
9104,2005-08-25 15:00:00,2006-03,96.28,115000.0,tanshin,wb7bb297bb3c02,noeps
9104,2005-11-25 15:00:00,2006-03,100.42,120000.0,tanshin,wb2172a3779fdd,noeps
9104,2006-02-25 15:00:00,2006-03,93.73,112000.0,tanshin,wbb430d69cb488,noeps
9104,2006-08-25 15:00:00,2007-03,83.67,100000.0,tanshin,wb1a11ed974908,noeps
9104,2006-11-25 15:00:00,2007-03,93.73,112000.0,tanshin,wbb89f729884b9,noeps
9104,2007-02-25 15:00:00,2007-03,98.75,118000.0,tanshin,wb73da5bb9ba79,noeps
9104,2007-07-25 15:00:00,,,,tanshin,wbc01ac6764d11,nohead
9104,2008-10-27 15:00:00,2009-03,162.97,195000.0,tanshin,wb8e27eacf96e2,
9104,2010-03-31 15:00:00,2010-03,8.36,10000.0,revision,wb8bc074303015,
9104,2011-07-29 15:00:00,2012-03,14.22,17000.0,tanshin,wbf4cab3a18792,
9104,2011-07-29 15:00:00,2012-03,14.22,17000.0,revision,wbd3bf9f7cee3d,
9104,2011-09-30 15:00:00,,,,revision,wbc5b94ed9faa9,notable
9104,2013-10-31 11:30:00,2014-03,41.81,50000.0,tanshin,140120131024043330,
9104,2014-01-31 11:30:00,2014-03,47.66,57000.0,tanshin,140120140127092526,
9104,2014-04-30 11:30:00,2015-03,50.17,60000.0,tanshin,140120140428048319,
9104,2014-07-31 11:30:00,2015-03,33.45,40000.0,tanshin,140120140730022789,
9104,2014-07-31 11:30:00,2015-03,33.45,40000.0,revision,140120140731023800,
9104,2014-10-31 11:30:00,2015-03,33.45,40000.0,revision,140120141030069888,
9104,2014-10-31 11:30:00,2015-03,33.45,40000.0,tanshin,140120141030069968,
9104,2015-01-30 11:30:00,2015-03,29.27,35000.0,tanshin,140120150129014090,
9104,2015-01-30 11:30:00,2015-03,29.27,35000.0,revision,140120150130014788,
9104,2015-04-30 11:30:00,2016-03,35.95,43000.0,tanshin,140120150428454874,
9104,2015-04-30 11:30:00,,,,revision,140120150428455396,notable
9104,2015-07-31 11:30:00,2016-03,35.95,43000.0,tanshin,140120150730464383,
