tid,fy_end,eps,ni,memo
140120250428525567,2026-03,492.10,170000,商船三井 2025/3期決算短信 P2 (文字が図形化されたPDFのため目視)
140120250730524249,2026-03,581.48,200000,商船三井 2026/3期1Q短信 P2 (目視)
140120251029580923,2026-03,523.16,180000,商船三井 2026/3期2Q短信 P1 (目視)
140120260121536344,2026-03,581.28,200000,商船三井 2026/3期3Q短信 P1 (目視)
140120140425046894,2015-03,24.71,5700,NSユナイテッド 2014/3期決算短信(図形化PDF・目視)
140120140130096043,2014-03,39.31,1300,明治海運 3Q短信(目視)
140120140130095243,2014-03,40.95,4400,飯野海運 3Q短信(目視)
140120190425411913,2020-03,35.91,3800,飯野海運 本決算(目視)
140120191030415798,2020-03,26.46,2800,飯野海運 2Q短信(目視)
140120211108427494,2022-03,78.45,8300,飯野海運 2Q短信(目視)
140120140922047748,2015-03,19.61,750,共栄タンカー 2Q短信(目視)
140120150115005931,2015-03,14.38,550,共栄タンカー 3Q短信(目視)
140120150403431215,2016-03,15.69,600,共栄タンカー 本決算(目視)
140120150707444428,2016-03,33.99,1300,共栄タンカー 1Q短信(目視)
140120150902489538,2016-03,33.99,1300,共栄タンカー 2Q短信(目視)
140120160119490524,2016-03,22.23,850,共栄タンカー 3Q短信(目視)
140120160328444529,2017-03,31.38,1200,共栄タンカー 本決算(目視)
140120160707445618,2017-03,31.38,1200,共栄タンカー 1Q短信(目視)
140120160812475032,2017-03,31.38,1200,共栄タンカー 2Q短信(目視)
140120200511409369,2021-03,32.69,250,共栄タンカー 本決算(目視)
140120210204456285,2021-03,6.54,50,共栄タンカー 3Q短信(目視)
140120140129094072,2014-03,7.53,120,乾汽船(旧イヌイ倉庫) 3Q短信(目視)
140120140502051981,2015-03,34.15,545,乾汽船 本決算(目視)
140120140722017674,2015-03,34.15,545,乾汽船 1Q短信(目視)
140120141031071482,2015-03,,,乾汽船 2Q短信 経営統合のため予想未定(目視)
140120150204018840,2015-03,467.48,9584,乾汽船 3Q短信(目視・負ののれん益で大幅黒字)
140120150501459250,2016-03,-92.74,-2325,乾汽船 本決算(目視)
140120160129400545,2016-03,-58.68,-1471,乾汽船 3Q短信(目視)
140120160427470391,2017-03,-101.21,-2537,乾汽船 本決算(目視)
140120160726458650,2017-03,-94.35,-2365,乾汽船 1Q短信(目視)
140120161027422584,2017-03,-94.43,-2367,乾汽船 2Q短信(目視)
140120170203490064,2017-03,-23.42,-587,乾汽船 3Q短信(目視)
140120171024497357,2018-03,23.34,581,乾汽船 2Q短信(目視)
140120180130459456,2018-03,22.82,568,乾汽船 3Q短信(目視)
140120180730488175,2019-03,88.96,2210,乾汽船 1Q短信(目視)
140120181025422740,2019-03,53.78,1337,乾汽船 2Q短信(目視)
140120250212569593,2025-03,199.26,5008,乾汽船 3Q短信(目視)
140120260511522887,2027-03,115.72,2914,乾汽船 本決算(目視)
140120190731479556,2020-03,32.13,3300,飯野海運 1Q短信(目視)
140120140708010397,2015-03,19.61,750,共栄タンカー 1Q短信(目視)
140120170111471841,2017-03,31.38,1200,共栄タンカー 3Q短信(目視)
140120150730464787,2016-03,10.45,262,乾汽船 1Q短信(目視)
140120151029429270,2016-03,-10.41,-261,乾汽船 2Q短信(目視)
140120180425419505,2019-03,117.18,2911,乾汽船 本決算(目視)
140120190426413440,2020-03,12.26,305,乾汽船 本決算(目視)
