"野村日本株高配当70 日次指数値"
※  2000年12月29日 = 10000
,円ベース,,米ドルベース,,円ベース
年月日,配当除く,配当含む,配当除く,配当含む,配当課税考慮済、居住者,配当課税考慮済、非居住者
20001229,10000.00,10000.00,10000.00,10000.00,10000.00,10000.00
20010104,9866.58,9866.58,9930.10,9930.10,9866.58,9866.58
20010105,9883.89,9883.89,9764.49,9764.49,9883.89,9883.89
20010109,9738.53,9738.53,9649.09,9649.09,9738.53,9738.53
20010110,9687.50,9687.50,9552.40,9552.40,9687.50,9687.50
20010111,9642.75,9642.75,9493.61,9493.61,9642.75,9642.75
20010112,9634.58,9634.58,9369.16,9369.16,9634.58,9634.58
20010115,9595.73,9595.73,9266.29,9266.29,9595.73,9595.73
20010116,9523.78,9523.78,9261.02,9261.02,9523.78,9523.78
20010117,9474.33,9474.33,9279.29,9279.29,9474.33,9474.33
20010118,9528.63,9528.63,9190.67,9190.67,9528.63,9528.63
20010119,9457.02,9457.02,9216.00,9216.00,9457.02,9457.02
20010122,9520.35,9520.35,9361.48,9361.48,9520.35,9520.35
20010123,9584.18,9584.18,9405.32,9405.32,9584.18,9584.18
20010124,9589.11,9589.11,9406.15,9406.15,9589.11,9589.11
20010125,9548.02,9548.02,9299.94,9299.94,9548.02,9548.02
20010126,9603.07,9603.07,9452.93,9452.93,9603.07,9603.07
20010129,9672.62,9672.62,9507.95,9507.95,9672.62,9672.62
20010130,9679.62,9679.62,9543.00,9543.00,9679.62,9679.62
20010131,9721.83,9721.83,9598.62,9598.62,9721.83,9721.83
20010201,9710.48,9710.48,9596.48,9596.48,9710.48,9710.48
20010202,9666.94,9666.94,9643.86,9643.86,9666.94,9666.94
20010205,9559.01,9559.01,9485.94,9485.94,9559.01,9559.01
20010206,9509.79,9509.79,9511.86,9511.86,9509.79,9509.79
20010207,9574.17,9574.17,9545.50,9545.50,9574.17,9574.17
20010208,9536.20,9536.20,9418.57,9418.57,9536.20,9536.20
20010209,9647.28,9647.28,9508.67,9508.67,9647.28,9647.28
20010213,9583.00,9583.00,9392.94,9392.94,9583.00,9583.00
20010214,9678.72,9678.72,9531.48,9531.48,9678.72,9678.72
20010215,9713.11,9713.11,9593.30,9593.30,9713.11,9713.11
20010216,9628.78,9628.78,9574.20,9574.20,9628.78,9628.78
20010219,9621.53,9621.53,9533.99,9533.99,9621.53,9621.53
20010220,9729.13,9729.13,9666.04,9666.04,9729.13,9729.13
20010221,9726.27,9726.27,9598.87,9598.87,9726.27,9726.27
20010222,9740.41,9740.41,9635.17,9635.17,9740.41,9740.41
20010223,9842.91,9842.91,9679.90,9679.90,9842.91,9842.91
20010226,9975.74,9975.74,9871.78,9871.78,9975.74,9975.74
20010227,10038.56,10038.56,9933.52,9933.52,10038.56,10038.56
20010228,10012.99,10012.99,9880.99,9880.99,10012.99,10012.99
20010301,9967.09,9967.09,9756.92,9756.92,9967.09,9967.09
20010302,9787.71,9787.71,9504.39,9504.39,9787.71,9787.71
20010305,9835.17,9835.17,9495.11,9495.11,9835.17,9835.17
20010306,9935.32,9935.32,9620.09,9620.09,9935.32,9935.32
20010307,9879.09,9879.09,9519.12,9519.12,9879.09,9879.09
20010308,9899.56,9899.56,9481.59,9481.59,9899.56,9899.56
20010309,9958.01,9958.01,9553.50,9553.50,9958.01,9958.01
20010312,9817.24,9817.24,9359.83,9359.83,9817.24,9817.24
20010313,9673.34,9673.34,9258.75,9258.75,9673.34,9673.34
20010314,9601.59,9601.59,9202.34,9202.34,9601.59,9601.59
20010315,9841.88,9841.88,9374.77,9374.77,9841.88,9841.88
20010316,9770.38,9770.38,9160.11,9160.11,9770.38,9770.38
20010319,9904.51,9904.51,9224.88,9224.88,9904.51,9904.51
20010321,10461.33,10461.33,9776.78,9776.78,10461.33,10461.33
20010322,10171.86,10171.86,9442.51,9442.51,10171.86,10171.86
20010323,10244.90,10244.90,9584.66,9584.66,10244.90,10244.90
20010326,10638.60,10638.60,9931.95,9931.95,10638.60,10638.60
20010327,10529.10,10618.93,9875.46,9959.72,10600.96,10600.96
20010328,10587.80,10678.13,9960.60,10045.58,10660.06,10660.06
20010329,10302.70,10390.61,9593.43,9675.28,10373.03,10373.03
20010330,10263.28,10350.84,9414.04,9494.37,10333.33,10333.33
20010402,10140.94,10227.47,9217.95,9296.59,10210.16,10210.16
20010403,10459.44,10548.68,9564.20,9645.80,10530.83,10530.83
20010404,10584.28,10674.59,9649.94,9732.27,10656.52,10656.52
20010405,10668.24,10759.26,9870.60,9954.81,10741.05,10741.05
20010406,10638.77,10729.54,9796.79,9880.38,10711.39,10711.39
20010409,10506.80,10596.45,9676.05,9758.60,10578.52,10578.52
20010410,10543.23,10633.19,9736.91,9819.98,10615.20,10615.20
20010411,10687.33,10778.51,9893.84,9978.25,10760.27,10760.27
20010412,10720.40,10811.86,9992.48,10077.74,10793.57,10793.57
20010413,10710.53,10801.92,9904.95,9989.46,10783.64,10783.64
20010416,10718.05,10809.49,9882.47,9966.78,10791.20,10791.20
20010417,10703.29,10794.61,9953.53,10038.45,10776.35,10776.35
20010418,10862.90,10955.58,10157.86,10244.52,10937.04,10937.04
20010419,10862.87,10955.56,10218.55,10305.73,10937.02,10937.02
20010420,10908.34,11001.41,10278.98,10366.68,10982.79,10982.79
20010423,10971.19,11064.79,10306.93,10394.87,11046.07,11046.07
20010424,11082.37,11176.93,10502.41,10592.01,11158.01,11158.01
20010425,11204.08,11299.67,10518.84,10608.59,11280.55,11280.55
20010426,11360.88,11457.81,10661.70,10752.67,11438.43,11438.43
20010427,11454.23,11551.96,10608.93,10699.45,11532.42,11532.42
20010501,11678.43,11778.07,10913.35,11006.47,11758.14,11758.14
20010502,11614.25,11713.34,10949.56,11042.98,11693.52,11693.52
20010507,11566.96,11665.65,10959.83,11053.34,11645.91,11645.91
20010508,11396.36,11493.59,10767.11,10858.97,11474.15,11474.15
20010509,11313.19,11409.72,10689.41,10780.61,11390.41,11390.41
20010510,11268.92,11365.06,10594.43,10684.82,11345.83,11345.83
20010511,11280.26,11376.50,10570.50,10660.69,11357.25,11357.25
20010514,11157.39,11252.58,10446.84,10535.97,11233.54,11233.54
20010515,11205.52,11301.12,10445.09,10534.21,11282.00,11282.00
20010516,11092.55,11187.19,10299.68,10387.56,11168.26,11168.26
20010517,11204.35,11299.94,10466.93,10556.23,11280.82,11280.82
20010518,11176.51,11271.87,10418.05,10506.94,11252.80,11252.80
20010521,11307.17,11403.64,10539.84,10629.77,11384.34,11384.34
20010522,11225.91,11321.69,10497.32,10586.88,11302.54,11302.54
20010523,11266.72,11362.85,10685.92,10777.09,11343.62,11343.62
20010524,11197.03,11292.57,10739.95,10831.59,11273.46,11273.46
20010525,11145.78,11240.88,10637.96,10728.72,11221.86,11221.86
20010528,11075.40,11169.90,10507.94,10597.59,11151.00,11151.00
20010529,11159.12,11254.33,10648.92,10739.78,11235.29,11235.29
20010530,11105.02,11199.76,10614.04,10704.59,11180.81,11180.81
20010531,11097.51,11192.20,10710.21,10801.59,11173.26,11173.26
20010601,11093.48,11188.09,10730.66,10822.17,11169.16,11169.16
20010604,11198.33,11293.82,10782.15,10874.10,11274.72,11274.72
20010605,11194.77,11290.24,10764.29,10856.09,11271.14,11271.14
20010606,11128.40,11223.30,10609.91,10700.39,11204.32,11204.32
20010607,11193.80,11289.25,10703.34,10794.62,11270.16,11270.16
20010608,11241.01,11336.87,10722.61,10814.05,11317.70,11317.70
20010611,11260.55,11356.57,10652.37,10743.21,11337.37,11337.37
20010612,11044.60,11138.79,10413.37,10502.17,11119.95,11119.95
20010613,11128.61,11223.51,10462.52,10551.74,11204.53,11204.53
20010614,11086.29,11180.83,10445.82,10534.90,11161.93,11161.93
20010615,11133.70,11228.65,10538.01,10627.88,11209.66,11209.66
20010618,11120.04,11214.87,10352.40,10440.68,11195.91,11195.91
20010619,11052.67,11146.93,10304.71,10392.58,11128.08,11128.08
20010620,11095.96,11190.58,10385.94,10474.51,11171.66,11171.66
20010621,11220.60,11316.28,10403.44,10492.16,11297.15,11297.15
20010622,11333.01,11429.66,10472.60,10561.91,11410.33,11410.33
20010625,11311.85,11408.31,10480.44,10569.81,11389.02,11389.02
20010626,11391.89,11492.30,10601.18,10694.62,11472.21,11472.21
20010627,11296.54,11396.11,10438.89,10530.91,11376.19,11376.19
20010628,11263.34,11362.62,10391.92,10483.52,11342.76,11342.76
20010629,11386.28,11486.64,10528.17,10620.97,11466.56,11466.56
20010702,11327.30,11427.14,10442.12,10534.17,11407.17,11407.17
20010703,11379.27,11479.57,10554.81,10647.85,11459.50,11459.50
20010704,11298.59,11398.18,10403.55,10495.26,11378.25,11378.25
20010705,11351.73,11451.79,10399.98,10491.65,11431.78,11431.78
20010706,11240.68,11339.76,10272.04,10362.58,11319.94,11319.94
20010709,11184.29,11282.88,10236.38,10326.61,11263.15,11263.15
20010710,11178.37,11276.91,10224.04,10314.16,11257.19,11257.19
20010711,11002.42,11099.40,10106.55,10195.64,11080.00,11080.00
20010712,11146.74,11244.99,10311.25,10402.14,11225.33,11225.33
20010713,11072.01,11169.61,10252.44,10342.82,11150.09,11150.09
20010716,11094.54,11192.34,10207.90,10297.88,11172.77,11172.77
20010717,10992.89,11089.78,10068.82,10157.57,11070.40,11070.40
20010718,10783.10,10878.15,9889.28,9976.45,10859.13,10859.13
20010719,10774.88,10869.86,10013.62,10101.89,10850.86,10850.86
20010723,10568.28,10661.43,9821.61,9908.19,10642.80,10642.80
20010724,10655.11,10749.03,9849.73,9936.55,10730.24,10730.24
20010725,10708.20,10802.59,9898.81,9986.06,10783.71,10783.71
20010726,10766.54,10861.44,10037.53,10126.01,10842.46,10842.46
20010727,10835.75,10931.27,10047.44,10136.00,10912.16,10912.16
20010730,10825.84,10921.27,9978.65,10066.61,10902.18,10902.18
20010731,10945.71,11042.19,10078.63,10167.47,11022.89,11022.89
20010801,11019.72,11116.86,10150.03,10239.50,11097.43,11097.43
20010802,11156.30,11254.64,10315.53,10406.45,11234.97,11234.97
20010803,10989.26,11086.13,10195.54,10285.40,11066.75,11066.75
20010806,11080.78,11178.45,10261.39,10351.84,11158.92,11158.92
20010807,11189.40,11288.03,10373.68,10465.12,11268.30,11268.30
20010808,11162.22,11260.61,10385.77,10477.32,11240.93,11240.93
20010809,10987.98,11084.83,10227.79,10317.95,11065.46,11065.46
20010810,10974.50,11071.23,10340.90,10432.06,11051.88,11051.88
20010813,10910.25,11006.42,10287.53,10378.21,10987.18,10987.18
20010814,11095.32,11193.12,10397.20,10488.84,11173.56,11173.56
20010815,11080.69,11178.36,10521.21,10613.95,11158.82,11158.82
20010816,11131.24,11229.36,10716.66,10811.12,11209.73,11209.73
20010817,11121.30,11219.33,10601.38,10694.83,11199.72,11199.72
20010820,11048.17,11145.56,10556.19,10649.24,11126.07,11126.07
20010821,11052.94,11150.36,10544.52,10637.47,11130.87,11130.87
20010822,11231.11,11330.11,10771.74,10866.69,11310.31,11310.31
20010823,11188.82,11287.45,10681.70,10775.85,11267.72,11267.72
20010824,11087.66,11185.39,10626.62,10720.29,11165.84,11165.84
20010827,11070.24,11167.82,10584.32,10677.62,11148.30,11148.30
20010828,11056.31,11153.77,10548.18,10641.16,11134.27,11134.27
20010829,10863.08,10958.83,10402.70,10494.39,10939.68,10939.68
20010830,10733.17,10827.78,10299.76,10390.54,10808.85,10808.85
20010831,10675.88,10769.99,10315.43,10406.35,10751.16,10751.16
20010903,10500.63,10593.19,10153.78,10243.28,10574.67,10574.67
20010904,10582.24,10675.52,10186.40,10276.19,10656.86,10656.86
20010905,10504.26,10596.85,10079.25,10168.09,10578.33,10578.33
20010906,10515.12,10607.81,9967.72,10055.58,10589.26,10589.26
20010907,10441.03,10533.06,9897.49,9984.73,10514.65,10514.65
20010910,10227.26,10317.41,9786.48,9872.75,10299.38,10299.38
20010911,10181.81,10271.56,9611.32,9696.04,10253.60,10253.60
20010912,9616.74,9701.51,9256.24,9337.83,9684.55,9684.55
