"野村日本株高配当70・配当総額加重型 日次指数値"
※  2000年12月29日 = 10000
,円ベース
年月日,配当除く,配当含む
20001229,10000.00,10000.00
20010104,9892.14,9892.14
20010105,9888.11,9888.11
20010109,9758.88,9758.88
20010110,9734.33,9734.33
20010111,9676.98,9676.98
20010112,9632.26,9632.26
20010115,9504.72,9504.72
20010116,9426.71,9426.71
20010117,9386.76,9386.76
20010118,9377.64,9377.64
20010119,9276.64,9276.64
20010122,9369.72,9369.72
20010123,9426.21,9426.21
20010124,9442.09,9442.09
20010125,9386.73,9386.73
20010126,9456.06,9459.87
20010129,9492.18,9496.01
20010130,9453.11,9456.93
20010131,9526.40,9530.25
20010201,9502.54,9506.37
20010202,9486.49,9490.32
20010205,9416.11,9419.91
20010206,9406.87,9410.67
20010207,9481.20,9485.03
20010208,9431.86,9435.67
20010209,9505.82,9509.66
20010213,9474.47,9478.30
20010214,9552.77,9556.63
20010215,9549.86,9554.74
20010216,9493.55,9498.40
20010219,9477.99,9482.83
20010220,9566.23,9571.11
20010221,9546.57,9551.44
20010222,9591.25,9596.14
20010223,9665.40,9670.72
20010226,9791.56,9796.95
20010227,9833.08,9838.50
20010228,9832.03,9837.45
20010301,9806.08,9811.48
20010302,9676.85,9682.18
20010305,9774.32,9779.71
20010306,9832.98,9838.39
20010307,9818.96,9824.36
20010308,9784.08,9789.46
20010309,9828.72,9834.13
20010312,9701.31,9706.65
20010313,9578.78,9584.05
20010314,9534.97,9540.22
20010315,9757.65,9763.02
20010316,9677.04,9682.37
20010319,9760.58,9765.96
20010321,10324.51,10330.19
20010322,10008.01,10013.52
20010323,10043.41,10048.94
20010326,10389.98,10395.70
20010327,10252.38,10358.98
20010328,10309.76,10416.95
20010329,10000.56,10104.54
20010330,9988.05,10091.90
20010402,9838.24,9940.53
20010403,10106.58,10211.65
20010404,10199.57,10305.62
20010405,10311.80,10419.01
20010406,10268.23,10374.98
20010409,10156.76,10262.36
20010410,10163.29,10268.95
20010411,10291.92,10398.92
20010412,10320.14,10427.43
20010413,10269.85,10376.62
20010416,10290.67,10397.66
20010417,10322.29,10429.61
20010418,10457.28,10566.01
20010419,10419.74,10528.08
20010420,10487.03,10596.06
20010423,10575.89,10685.84
20010424,10678.85,10789.88
20010425,10830.01,10942.61
20010426,10997.44,11111.78
20010427,11115.52,11231.09
20010501,11293.79,11411.22
20010502,11266.68,11383.83
20010507,11304.39,11421.93
20010508,11178.62,11294.86
20010509,11098.26,11213.67
20010510,11058.07,11173.06
20010511,11056.78,11171.75
20010514,10962.61,11076.60
20010515,11015.77,11130.31
20010516,10924.09,11037.68
20010517,11015.62,11130.16
20010518,10975.98,11090.11
20010521,11055.20,11170.16
20010522,10958.37,11072.31
20010523,10987.76,11102.01
20010524,10948.68,11062.52
20010525,10935.20,11048.90
20010528,10884.81,10998.73
20010529,10922.46,11036.77
20010530,10865.00,10978.70
20010531,10893.47,11007.48
20010601,10878.54,10992.34
20010604,10978.04,11092.89
20010605,10980.99,11095.87
20010606,10957.50,11072.13
20010607,11032.56,11147.97
20010608,11035.93,11151.38
20010611,11039.35,11154.84
20010612,10903.23,11017.29
20010613,10931.75,11046.12
20010614,10941.26,11055.72
20010615,11026.55,11141.90
20010618,11049.50,11165.10
20010619,11008.97,11124.14
20010620,10988.80,11103.76
20010621,11132.50,11248.96
20010622,11222.85,11340.26
20010625,11259.40,11377.18
20010626,11335.07,11457.00
20010627,11246.54,11367.51
20010628,11212.05,11332.66
20010629,11328.07,11449.92
20010702,11289.57,11411.01
20010703,11336.56,11458.50
20010704,11294.40,11415.89
20010705,11368.74,11491.04
20010706,11306.78,11428.40
20010709,11246.39,11367.37
20010710,11216.29,11336.95
20010711,11078.30,11197.47
20010712,11188.41,11308.77
20010713,11117.76,11237.35
20010716,11094.35,11213.69
20010717,11001.46,11119.80
20010718,10775.83,10891.74
20010719,10735.17,10850.64
20010723,10560.98,10674.58
20010724,10658.65,10773.30
20010725,10704.18,10819.32
20010726,10711.72,10828.86
20010727,10834.32,10952.81
20010730,10853.51,10972.21
20010731,10942.41,11062.07
20010801,10972.57,11092.57
20010802,11080.54,11201.72
20010803,10917.00,11036.39
20010806,10998.59,11118.88
20010807,11159.69,11281.73
20010808,11166.25,11288.37
20010809,11006.46,11126.82
20010810,11009.47,11129.87
20010813,10948.07,11067.80
20010814,11124.35,11246.01
20010815,11126.76,11248.45
20010816,11170.55,11292.72
20010817,11194.03,11316.45
20010820,11138.55,11260.37
20010821,11115.62,11237.19
20010822,11250.02,11373.05
20010823,11188.87,11311.23
20010824,11105.03,11226.48
20010827,11049.18,11170.02
20010828,11019.95,11140.86
20010829,10813.85,10932.49
20010830,10663.62,10780.61
20010831,10645.16,10761.96
20010903,10458.46,10573.20
20010904,10561.42,10677.29
20010905,10523.44,10638.89
20010906,10580.02,10696.10
20010907,10536.57,10652.18
20010910,10328.45,10441.77
20010911,10308.65,10421.75
20010912,9819.73,9927.47
20010913,10051.65,10161.93
20010914,10212.41,10324.45
20010917,9936.71,10045.74
20010918,10104.46,10215.32
20010919,10300.95,10413.97
20010920,10179.57,10291.26
20010921,10080.99,10191.59
20010925,10078.14,10264.32
20010926,9942.29,10125.96
20010927,9975.77,10160.06
20010928,10245.39,10434.66
20011001,10464.15,10657.45
20011002,10611.44,10807.47
20011003,10498.03,10691.96
20011004,10579.76,10775.20
20011005,10479.70,10673.30
20011009,10386.65,10578.53
20011010,10365.28,10556.76
20011011,10530.58,10725.12
20011012,10555.54,10750.54
20011015,10479.65,10673.25
20011016,10603.10,10798.97
20011017,10528.95,10723.46
20011018,10361.39,10552.80
20011019,10374.09,10565.73
20011022,10438.27,10631.10
20011023,10596.50,10792.25
20011024,10591.91,10787.58
20011025,10716.02,10913.98
20011026,10669.71,10866.82
20011029,10506.20,10700.28
20011030,10518.74,10713.06
20011031,10549.58,10744.46
20011101,10456.94,10650.11
20011102,10343.68,10534.76
20011105,10356.30,10547.62
20011106,10338.15,10529.13
20011107,10181.64,10369.73
20011108,10273.01,10462.78
20011109,10134.33,10321.55
20011112,10101.66,10288.27
20011113,10060.43,10246.28
20011114,9954.08,10137.96
20011115,10026.37,10211.59
20011116,9808.16,9989.35
20011119,9787.98,9968.80
20011120,9813.38,9994.66
20011121,9949.08,10132.87
20011122,9920.08,10103.34
20011126,10051.39,10237.07
20011127,9926.47,10110.59
20011128,9805.48,9987.35
20011129,9814.14,9996.17
20011130,9862.18,10045.10
20011203,9687.51,9867.18
20011204,9724.93,9905.30
20011205,9706.19,9886.20
20011206,9653.31,9832.35
20011207,9600.86,9778.92
20011210,9494.54,9670.63
20011211,9455.34,9630.71
20011212,9634.38,9813.06
20011213,9482.37,9658.23
20011214,9560.52,9737.84
20011217,9412.55,9587.13
20011218,9442.15,9617.27
20011219,9433.76,9608.73
20011220,9587.57,9765.39
20011221,9615.72,9794.06
20011225,9601.22,9782.83
20011226,9521.49,9701.58
20011227,9728.82,9912.84
20011228,9814.55,10000.20
20020104,9802.26,9987.66
20020107,9793.99,9979.24
20020108,9599.27,9780.84
20020109,9486.57,9666.00
20020110,9342.92,9519.64
20020111,9262.87,9438.08
20020115,9207.58,9381.74
20020116,9295.02,9470.84
20020117,9305.34,9481.35
20020118,9527.82,9708.04
20020121,9556.91,9737.68
20020122,9377.50,9554.88
20020123,9298.36,9474.23
20020124,9329.47,9505.94
20020125,9328.09,9504.53
20020128,9375.20,9556.39
20020129,9328.20,9508.48
20020130,9278.52,9457.84
20020131,9349.10,9529.79
20020201,9284.96,9464.40
20020204,9219.05,9397.22
20020205,9081.90,9257.42
20020206,9072.87,9248.22
20020207,9123.09,9299.41
20020208,9247.57,9426.29
20020212,9342.98,9523.55
20020213,9435.69,9618.05
20020214,9437.75,9620.15
20020215,9418.11,9600.47
20020218,9423.15,9605.61
20020219,9228.61,9407.30
20020220,9285.93,9465.73
20020221,9496.66,9680.54
20020222,9471.10,9654.48
20020225,9432.41,9617.05
20020226,9436.93,9621.66
20020227,9667.72,9856.97
20020228,9634.32,9822.91
20020301,9798.89,9990.71
20020304,10093.89,10291.48
20020305,9995.15,10190.81
20020306,9974.91,10170.18
20020307,9992.13,10187.73
20020308,10036.52,10232.99
20020311,10163.14,10362.10
20020312,10029.94,10226.29
20020313,9918.82,10112.99
20020314,9928.50,10122.86
20020315,10037.06,10233.54
20020318,10013.22,10209.24
20020319,10147.28,10345.92
20020320,10071.30,10268.46
20020322,9920.80,10115.01
20020325,9969.57,10164.73
20020326,9865.32,10150.87
20020327,9921.97,10209.16
20020328,9930.08,10217.51
20020329,9743.84,10025.88
20020401,9687.91,9968.33
20020402,9753.77,10036.09
20020403,9881.75,10167.78
20020404,9939.07,10226.75
20020405,10003.87,10293.43
20020408,9970.23,10258.81
20020409,9865.93,10151.50
20020410,9967.83,10256.35
20020411,9827.97,10112.44
20020412,9770.79,10053.60
20020415,9816.10,10100.23
20020416,9846.87,10131.88
20020417,9903.61,10190.27
20020418,9969.09,10257.65
20020419,10019.13,10309.13
20020422,10032.22,10322.60
20020423,10018.28,10308.26
20020424,9962.76,10251.14
20020425,9910.87,10197.74
20020426,9792.70,10076.15
20020430,9801.29,10084.99
20020501,9775.67,10058.63
20020502,9844.14,10129.08
20020507,9900.16,10186.72
20020508,10024.46,10314.61
20020509,10011.76,10301.55
20020510,9966.87,10255.36
20020513,9882.27,10168.31
20020514,9814.42,10098.50
20020515,9891.43,10177.73
20020516,10054.01,10345.03
20020517,10000.90,10290.37
20020520,10050.49,10341.40
20020521,10085.72,10377.65
20020522,10285.76,10583.48
20020523,10438.81,10740.96
20020524,10433.33,10735.32
20020527,10406.08,10707.29
20020528,10373.20,10674.38
20020529,10295.52,10594.44
20020530,10262.91,10560.89
20020531,10286.30,10584.96
20020603,10275.51,10573.62
20020604,10185.89,10481.40
20020605,10189.20,10484.81
20020606,10104.74,10397.89
20020607,10086.89,10379.53
20020610,10049.94,10341.51
20020611,10122.97,10416.65
20020612,10047.06,10338.55
20020613,9916.71,10204.41
20020614,9788.85,10072.84
20020617,9578.16,9856.04
20020618,9646.75,9926.62
20020619,9438.15,9711.96
20020620,9552.70,9829.84
20020621,9481.95,9757.03
20020624,9586.78,9864.91
20020625,9593.73,9874.82
20020626,9414.71,9690.56
20020627,9478.52,9756.23
20020628,9700.82,9985.05
20020701,9739.59,10024.95
20020702,9776.22,10062.65
20020703,9970.10,10262.21
20020704,9898.27,10188.28
20020705,9936.01,10227.12
20020708,9846.78,10135.29
20020709,9962.43,10254.32
20020710,9890.24,10180.02
20020711,9739.77,10025.14
20020712,9754.20,10039.99
20020715,9595.50,9876.64
20020716,9481.31,9759.10
20020717,9557.43,9837.46
20020718,9691.52,9975.47
20020719,9524.11,9803.16
20020722,9572.10,9852.55
20020723,9524.29,9803.34
20020724,9429.10,9705.36
20020725,9383.86,9658.80
20020726,9241.98,9514.84
20020729,9248.09,9521.13
20020730,9295.93,9570.39
20020731,9266.30,9539.88
20020801,9255.75,9529.06
20020802,9266.90,9540.53
20020805,9285.24,9559.41
20020806,9171.91,9442.74
20020807,9299.48,9574.07
20020808,9316.07,9591.16
20020809,9435.45,9714.06
20020812,9295.48,9569.95
20020813,9303.84,9578.57
20020814,9327.98,9603.42
20020815,9425.21,9703.87
20020816,9398.80,9676.68
20020819,9289.47,9564.11
20020820,9185.45,9457.01
20020821,9161.85,9432.72
20020822,9269.33,9543.38
20020823,9233.65,9506.65
20020826,9411.49,9689.73
20020827,9307.71,9583.89
20020828,9241.13,9515.33
20020829,9136.23,9407.32
20020830,9155.59,9427.26
20020902,9096.06,9365.95
20020903,8914.35,9178.86
20020904,8825.34,9087.20
20020905,8927.32,9192.21
20020906,8855.93,9118.71
20020909,8905.94,9170.19
20020910,8940.89,9206.18
20020911,8941.50,9206.82
20020912,8931.56,9196.58
20020913,8914.91,9179.43
20020917,9086.28,9355.89
20020918,9052.76,9321.38
20020919,9138.81,9409.98
20020920,9040.13,9308.36
20020924,8994.84,9261.74
20020925,8769.59,9106.50
20020926,8864.41,9204.97
20020927,9007.47,9353.53
20020930,8941.87,9285.40
20021001,8846.00,9185.85
20021002,8779.61,9116.91
20021003,8734.44,9070.00
20021004,8756.21,9092.61
20021007,8534.14,8862.01
20021008,8533.13,8860.96
20021009,8422.85,8746.45
20021010,8384.58,8706.70
20021011,8479.96,8805.75
20021015,8642.48,8974.52
20021016,8657.25,8989.85
20021017,8720.87,9055.92
20021018,8731.77,9067.23
20021021,8722.06,9057.15
20021022,8517.93,8845.17
20021023,8518.33,8845.60
20021024,8494.82,8821.18
20021025,8573.40,8902.78
20021028,8550.19,8878.68
20021029,8501.70,8828.33
20021030,8613.87,8944.80
20021031,8560.32,8889.20
20021101,8592.14,8922.23
20021105,8703.28,9037.65
20021106,8688.13,9021.91
20021107,8664.14,8997.00
20021108,8560.22,8889.09
20021111,8431.91,8755.85
20021112,8493.20,8819.49
20021113,8412.28,8735.46
20021114,8348.84,8669.59
20021115,8428.59,8752.40
20021118,8364.27,8685.61
20021119,8279.47,8597.56
20021120,8364.32,8685.66
20021121,8406.39,8729.35
20021122,8481.78,8807.63
20021125,8616.07,8947.08
20021126,8517.89,8846.07
20021127,8611.09,8942.87
20021128,8719.15,9055.09
20021129,8736.31,9072.91
20021202,8658.24,8991.83
20021203,8622.10,8954.29
20021204,8555.49,8885.12
20021205,8486.89,8813.88
