データ日付,終値,始値,高値,安値,日経平均トータルリターン・ネット・インデックス終値
"2016/01/01","26240.18","27635.13","27635.13","23990.00","24604.82"
"2016/02/01","24021.78","26759.84","26759.84","22397.11","22521.67"
"2016/03/01","25307.89","24109.84","25830.88","24109.84","23691.45"
"2016/04/01","25168.02","24410.10","26536.87","23732.35","23560.50"
"2016/05/01","26027.20","24384.76","26027.20","24323.36","24364.80"
"2016/06/01","23563.61","25605.49","25605.49","22583.66","22050.61"
"2016/07/01","25068.29","23724.82","25430.91","22854.20","23458.29"
"2016/08/01","25566.82","25168.90","25598.70","24332.76","23921.54"
"2016/09/01","25078.37","25626.53","25861.40","24837.07","23431.45"
"2016/10/01","26566.39","25305.27","26596.36","25305.27","24821.49"
"2016/11/01","27917.34","26595.01","28028.25","24780.85","26082.96"
"2016/12/01","29187.34","28229.38","29725.86","27866.27","27261.69"
"2017/01/01","29077.97","29919.97","29919.97","28688.96","27159.14"
"2017/02/01","29214.45","29240.97","29716.24","28874.07","27283.23"
"2017/03/01","29096.37","29633.97","30001.00","29011.46","27134.54"
"2017/04/01","29538.81","29210.19","29681.37","28213.71","27547.11"
"2017/05/01","30237.31","29713.89","30715.83","29713.89","28198.46"
"2017/06/01","30884.90","30559.62","31165.62","30516.78","28791.29"
"2017/07/01","30720.17","30919.39","31134.73","30720.17","28637.34"
"2017/08/01","30309.05","30813.62","30958.93","29840.10","28250.50"
"2017/09/01","31607.78","30378.83","31618.39","29736.05","29422.53"
"2017/10/01","34186.47","31676.88","34186.47","31676.88","31821.33"
"2017/11/01","35300.22","34823.62","35629.55","34218.08","32856.89"
"2017/12/01","35413.76","35446.35","35641.30","34449.10","32952.82"
"2018/01/01","35934.98","36567.09","37528.20","35934.98","33437.34"
"2018/02/01","34351.49","36538.33","36538.33","32910.54","31960.30"
"2018/03/01","33650.39","33816.38","34195.62","32094.06","31259.88"
"2018/04/01","35241.80","33547.31","35241.80","33396.28","32737.89"
"2018/05/01","34824.56","35304.79","36080.17","34537.05","32350.30"
"2018/06/01","35050.37","34776.77","36023.80","34776.77","32547.83"
"2018/07/01","35444.27","34276.31","35819.89","33859.98","32913.17"
"2018/08/01","35955.60","35747.55","35962.44","34350.30","33383.86"
"2018/09/01","38173.51","35707.51","38173.51","35078.00","35397.02"
"2018/10/01","34722.20","38372.48","38411.82","33473.71","32191.14"
"2018/11/01","35411.41","34355.30","35621.89","34072.74","32828.76"
"2018/12/01","31769.86","35765.82","35765.82","30348.98","29441.51"
"2019/01/01","32976.92","31051.11","32976.92","31051.11","30559.59"
"2019/02/01","33971.97","33000.51","34244.17","32277.86","31477.17"
"2019/03/01","33960.15","34317.53","34665.98","33324.04","31414.77"
"2019/04/01","35646.44","34445.74","35724.56","34439.78","32974.68"
"2019/05/01","32992.94","35109.94","35109.94","32992.94","30519.88"
"2019/06/01","34152.83","32688.16","34377.86","32684.41","31577.90"
"2019/07/01","34549.42","34881.69","34924.35","33784.14","31944.15"
"2019/08/01","33262.89","34580.66","34580.66","32525.90","30749.90"
"2019/09/01","35207.83","33127.65","35503.19","33127.65","32499.86"
"2019/10/01","37104.01","35417.24","37180.69","34537.69","34250.04"
"2019/11/01","37701.26","36983.56","38066.74","36983.56","34800.68"
"2019/12/01","38352.64","38082.56","38951.08","37444.44","35389.89"
"2020/01/01","37623.19","37620.24","39044.73","37254.45","34716.32"
"2020/02/01","34304.41","37245.03","38706.89","34304.41","31649.32"
"2020/03/01","30978.96","34630.73","34630.73","26856.93","28527.64"
"2020/04/01","33069.06","29584.36","33069.06","29180.37","30452.49"
"2020/05/01","35827.13","32128.52","35889.83","32128.52","32992.30"
"2020/06/01","36547.19","36129.27","37956.35","35258.98","33646.34"
"2020/07/01","35596.21","36273.43","37624.18","35596.21","32771.41"
"2020/08/01","37954.67","36391.98","38192.44","36391.98","34940.03"
"2020/09/01","38259.49","37951.90","38843.62","37778.81","35177.57"
"2020/10/01","37921.07","38259.49","39061.49","37921.07","34865.49"
"2020/11/01","43630.05","38446.62","43978.46","38446.62","40113.63"
"2020/12/01","45354.08","44214.21","45558.97","43634.62","41688.28"
"2021/01/01","45718.51","45047.04","47631.55","44712.49","42022.85"
"2021/02/01","47891.40","46425.29","50354.04","46425.29","44016.36"
"2021/03/01","48537.95","49044.61","49959.35","46965.62","44555.53"
"2021/04/01","47928.96","48887.39","50052.45","47423.02","43996.51"
"2021/05/01","48007.89","48791.87","49102.89","45658.96","44068.98"
"2021/06/01","47970.26","47931.80","48974.74","46601.47","44020.22"
"2021/07/01","45460.39","47829.49","47956.52","45460.39","41716.55"
"2021/08/01","46826.90","46289.22","46826.90","45012.43","42966.14"
"2021/09/01","49401.65","47429.51","51128.85","47429.51","45272.24"
"2021/10/01","48468.13","48258.40","49071.01","46174.82","44415.69"
"2021/11/01","46685.33","49734.63","50018.05","46685.33","42779.43"
"2021/12/01","48375.88","46876.39","48778.49","46570.57","44316.82"
"2022/01/01","45371.48","49232.92","49283.95","43971.39","41563.99"
"2022/02/01","44595.18","45500.07","46537.82","43638.85","40848.73"
