データ日付,終値,始値,高値,安値,日経平均高配当株50指数（トータルリターン）終値,日経平均高配当株50指数ネット・トータルリターン）終値
"2001/12/01","10000.00","10000.00","10000.00","10000.00","10000.00","10000.00"
"2002/01/01","9788.27","10002.15","10123.66","9392.73","9791.41","9790.77"
"2002/02/01","10210.26","9655.39","10210.26","9333.54","10213.53","10212.88"
"2002/03/01","10636.08","10493.42","11261.11","10493.42","10771.41","10744.32"
"2002/04/01","10728.39","10457.25","11042.11","10457.25","10864.88","10837.56"
"2002/05/01","11684.93","10750.73","11921.95","10723.97","11834.72","11804.74"
"2002/06/01","10713.90","11839.17","11839.17","10387.02","10848.54","10821.57"
"2002/07/01","10468.28","10788.06","11205.39","10421.70","10604.54","10577.23"
"2002/08/01","10337.55","10495.81","10642.22","10277.46","10472.14","10445.13"
"2002/09/01","10229.91","10212.71","10352.77","9829.69","10429.08","10389.00"
"2002/10/01","9344.68","10028.64","10028.64","9188.07","9526.60","9490.01"
"2002/11/01","9540.87","9329.89","9540.87","8645.12","9729.63","9691.64"
"2002/12/01","9511.79","9477.49","9543.46","8957.94","9710.22","9670.27"
"2003/01/01","9660.53","9680.06","9887.67","9499.37","9866.83","9825.77"
"2003/02/01","10078.06","9797.50","10347.19","9797.50","10293.27","10250.44"
"2003/03/01","9962.42","10190.80","10320.65","9630.72","10307.05","10251.04"
"2003/04/01","10438.97","10046.21","10448.83","10046.21","10800.09","10741.40"
"2003/05/01","10770.89","10472.00","10834.10","10472.00","11144.78","11084.10"
"2003/06/01","11504.84","10738.22","11504.84","10738.22","11912.14","11846.50"
"2003/07/01","11761.45","11674.82","11998.77","11200.22","12180.20","12112.81"
"2003/08/01","13165.64","11886.91","13322.70","11594.53","13634.38","13558.95"
"2003/09/01","13667.44","13452.38","14460.41","13366.76","14229.99","14143.72"
"2003/10/01","14389.53","14056.95","15150.89","13723.67","14981.80","14890.95"
"2003/11/01","13922.84","14607.34","14665.20","12824.83","14499.15","14410.92"
"2003/12/01","15064.27","14257.11","15064.27","13763.08","15696.23","15599.90"
"2004/01/01","14926.40","15292.70","15443.52","14926.40","15555.01","15459.29"
"2004/02/01","15496.56","14999.29","15496.56","14509.49","16149.19","16049.81"
"2004/03/01","17645.12","15849.26","17684.96","15849.26","18539.00","18409.94"
"2004/04/01","17872.90","17739.32","18709.94","17734.30","18778.34","18647.59"
"2004/05/01","17263.85","17441.18","17441.18","15658.94","18141.63","18015.00"
"2004/06/01","18353.00","17323.44","18353.00","16930.16","19292.24","19156.96"
"2004/07/01","18071.18","18446.89","18446.89","17649.07","18999.01","18865.49"
"2004/08/01","18167.60","18079.91","18229.45","17593.07","19100.40","18966.15"
"2004/09/01","17984.86","18257.26","18570.17","17851.24","19048.15","18900.39"
"2004/10/01","17770.61","18227.66","18730.96","17558.04","18821.23","18675.23"
"2004/11/01","17889.01","17675.12","18131.67","17548.68","18953.61","18805.88"
"2004/12/01","18397.61","17748.82","18397.61","17569.73","19501.07","19348.18"
"2005/01/01","18548.82","18468.67","18649.90","18199.51","19664.35","19509.89"
"2005/02/01","19433.83","18581.26","19433.83","18581.26","20602.59","20440.75"
"2005/03/01","19485.75","19490.41","19823.23","19228.95","20856.46","20672.91"
"2005/04/01","18809.82","19494.44","19747.73","18327.06","20133.00","19955.81"
"2005/05/01","18906.15","18811.30","19094.41","18303.20","20237.78","20059.52"
"2005/06/01","19669.69","19010.22","19669.69","18856.59","21081.28","20893.01"
"2005/07/01","20540.71","19748.74","20540.71","19688.89","22018.07","21821.15"
"2005/08/01","21907.61","20744.88","21938.13","20307.24","23483.48","23273.48"
"2005/09/01","25514.86","22090.51","26036.22","22090.51","27545.57","27279.89"
"2005/10/01","25418.81","25436.09","25436.09","24154.32","27448.99","27183.57"
"2005/11/01","26732.92","25728.75","26852.74","25662.50","28871.95","28592.40"
"2005/12/01","28894.66","27093.52","29094.35","27093.52","31212.55","30909.75"
"2006/01/01","30235.24","29537.40","30235.24","27441.98","32664.06","32346.85"
"2006/02/01","30070.60","29956.29","30491.88","27805.56","32486.16","32170.72"
"2006/03/01","30830.79","29675.35","30837.43","28934.70","33604.86","33249.09"
"2006/04/01","30587.69","31163.01","31436.68","30471.33","33339.89","32986.94"
"2006/05/01","28622.02","30699.08","31545.28","28397.45","31200.18","30869.59"
"2006/06/01","28340.98","28635.62","29105.35","26010.04","30926.71","30595.75"
"2006/07/01","28345.92","28454.63","28610.11","26793.90","30932.09","30601.06"
"2006/08/01","29821.06","28294.78","29821.06","27908.18","32541.82","32193.56"
"2006/09/01","29134.44","29710.46","30013.50","28098.27","32063.62","31693.67"
"2006/10/01","29778.05","29337.73","30421.63","28869.24","32768.36","32390.63"
"2006/11/01","30158.05","29767.89","30158.05","28745.49","33191.28","32808.21"
"2006/12/01","32398.05","30206.05","32398.05","30206.05","35689.96","35274.73"
"2007/01/01","33431.29","32647.26","33912.82","31573.24","36828.18","36399.71"
"2007/02/01","35055.96","33801.87","36617.25","33527.03","38617.94","38168.63"
"2007/03/01","34861.93","34999.90","35781.64","33359.17","38696.51","38217.38"
"2007/04/01","34806.84","34082.84","35277.89","34082.84","38635.38","38156.99"
"2007/05/01","36215.48","34756.19","36215.48","34756.19","40201.24","39703.24"
"2007/06/01","36331.87","36604.94","37093.31","35629.45","40369.70","39865.79"
"2007/07/01","35152.32","36478.24","36834.02","35019.97","39060.97","38573.23"
"2007/08/01","33614.17","34632.90","34823.26","31092.89","37351.88","36885.47"
"2007/09/01","34286.69","33523.03","34295.40","32248.84","38424.02","37912.15"
"2007/10/01","33924.48","34377.14","35459.53","32878.77","38021.19","37514.37"
"2007/11/01","32120.97","34347.92","34347.92","30337.79","36006.84","35526.19"
