"Russell/Nomura “ú–{Š”ƒCƒ“ƒfƒbƒNƒX ŒŸw”’l (”z“–ŠÜ‚Ş), ‰~ƒx[ƒX"
¦ Prime:1996”N12Œ––=1000ASmall CoreAMicro:1999”N12Œ––=100A‚»‚êˆÈŠOF1979”N12Œ––=100
DATE,Total Market,Total Market Value,Total Market Growth,Large,Large Value,Large Growth,Top,Top Value,Top Growth,Mid,Mid Value,Mid Growth,Mid-Small,Mid-Small Value,Mid-Small Growth,Small,Small Value,Small Growth,Small Core,Small Core Value,Small Core Growth,Micro,Micro Value,Micro Growth,Prime,Prime Value,Prime Growth
197912,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,   nan,   nan,   nan,   nan,   nan,   nan,   nan,   nan,   nan
198001,101.76,103.00,100.56,101.59,102.80,100.37,101.33,103.07, 99.54,101.93,102.46,101.41,102.14,102.94,101.41,102.62,104.18,101.42,   nan,   nan,   nan,   nan,   nan,   nan,   nan,   nan,   nan
198002,101.54,102.74,100.37,101.44,102.67,100.18,101.09,103.13, 99.00,101.87,102.09,101.65,101.93,102.39,101.51,102.06,103.15,101.22,   nan,   nan,   nan,   nan,   nan,   nan,   nan,   nan,   nan
198003, 99.22,100.10, 98.36, 99.04, 99.95, 98.12, 98.61, 99.82, 97.36, 99.59,100.12, 99.07, 99.76,100.37, 99.20,100.14,101.01, 99.46,   nan,   nan,   nan,   nan,   nan,   nan,   nan,   nan,   nan
198004,102.27,102.77,101.78,102.11,102.54,101.68,102.59,103.58,101.57,101.51,101.21,101.80,101.99,102.03,101.95,103.07,104.14,102.25,   nan,   nan,   nan,   nan,   nan,   nan,   nan,   nan,   nan
198005,102.44,102.92,101.98,102.01,102.25,101.77,103.01,103.46,102.54,100.75,100.69,100.81,101.94,102.41,101.51,104.63,106.86,102.91,   nan,   nan,   nan,   nan,   nan,   nan,   nan,   nan,   nan
198006,103.61,105.11,102.17,103.06,104.53,101.57,102.76,104.69,100.78,103.44,104.32,102.56,104.37,105.50,103.32,106.46,108.54,104.86,   nan,   nan,   nan,   nan,   nan,   nan,   nan,   nan,   nan
198007,103.10,105.03,101.23,102.04,103.98,100.09,101.60,104.44, 98.69,102.61,103.38,101.85,104.41,105.57,103.34,108.47,111.24,106.33,   nan,   nan,   nan,   nan,   nan,   nan,   nan,   nan,   nan
198008,104.88,107.42,102.42,104.22,106.81,101.61,104.68,108.81,100.47,103.63,104.24,103.03,105.04,106.14,104.03,108.23,111.04,106.05,   nan,   nan,   nan,   nan,   nan,   nan,   nan,   nan,   nan
198009,107.79,111.24,104.46,107.19,110.69,103.66,107.96,114.03,101.77,106.21,106.41,106.01,107.64,108.66,106.70,110.85,114.44,108.08,   nan,   nan,   nan,   nan,   nan,   nan,   nan,   nan,   nan
198010,109.39,113.17,105.74,109.47,113.33,105.59,111.41,118.27,104.41,107.03,107.00,107.06,107.63,108.46,106.86,108.98,112.24,106.47,   nan,   nan,   nan,   nan,   nan,   nan,   nan,   nan,   nan
198011,108.78,111.76,105.90,108.76,111.73,105.76,109.61,115.73,103.37,107.68,106.61,108.73,108.07,108.12,108.01,108.93,111.99,106.57,   nan,   nan,   nan,   nan,   nan,   nan,   nan,   nan,   nan
198012,109.20,113.14,105.40,108.90,113.04,104.74,109.58,116.95,102.07,108.04,108.03,108.05,108.87,109.63,108.17,110.73,113.72,108.42,   nan,   nan,   nan,   nan,   nan,   nan,   nan,   nan,   nan
198101,112.62,116.69,108.70,111.92,116.13,107.69,111.97,119.75,104.07,111.86,111.49,112.22,113.19,113.87,112.59,116.18,119.83,113.34,   nan,   nan,   nan,   nan,   nan,   nan,   nan,   nan,   nan
198102,112.09,115.90,108.42,111.69,115.71,107.63,111.92,119.61,104.10,111.39,110.72,112.06,112.24,112.51,112.03,114.15,116.99,111.97,   nan,   nan,   nan,   nan,   nan,   nan,   nan,   nan,   nan
198103,118.26,124.51,112.29,119.35,126.03,112.71,122.94,135.42,110.50,114.85,114.24,115.45,114.22,114.76,113.75,112.79,116.06,110.26,   nan,   nan,   nan,   nan,   nan,   nan,   nan,   nan,   nan
198104,125.51,135.93,115.64,128.61,140.02,117.39,138.28,158.49,118.40,116.51,117.00,116.04,114.48,115.90,113.21,109.91,113.14,107.41,   nan,   nan,   nan,   nan,   nan,   nan,   nan,   nan,   nan
198105,125.57,136.40,115.31,129.55,141.52,117.80,142.29,164.19,120.77,113.63,113.29,113.96,111.11,111.73,110.56,105.45,107.85,103.60,   nan,   nan,   nan,   nan,   nan,   nan,   nan,   nan,   nan
198106,131.33,142.32,120.92,135.31,147.54,123.30,147.34,170.86,124.27,120.27,118.51,122.00,117.49,116.99,117.98,111.23,113.21,109.73,   nan,   nan,   nan,   nan,   nan,   nan,   nan,   nan,   nan
198107,132.66,144.85,121.12,137.26,150.91,123.89,151.26,177.38,125.69,119.76,117.96,121.53,116.57,115.98,117.15,109.42,111.05,108.20,   nan,   nan,   nan,   nan,   nan,   nan,   nan,   nan,   nan
198108,132.63,146.19,119.81,137.40,152.44,122.68,151.85,179.73,124.60,119.33,118.48,120.18,116.02,116.44,115.67,108.54,111.34,106.38,   nan,   nan,   nan,   nan,   nan,   nan,   nan,   nan,   nan
198109,124.24,136.04,113.07,127.64,140.41,115.13,136.39,157.29,115.89,116.70,119.40,114.09,113.75,117.21,110.61,107.07,111.71,103.44,   nan,   nan,   nan,   nan,   nan,   nan,   nan,   nan,   nan
198110,124.61,136.08,113.75,128.07,140.38,116.00,136.71,156.58,117.19,117.28,120.22,114.43,114.16,117.91,110.76,107.14,112.14,103.23,   nan,   nan,   nan,   nan,   nan,   nan,   nan,   nan,   nan
198111,125.07,136.03,114.69,128.06,139.55,116.78,134.50,152.15,117.10,120.02,123.86,116.30,116.93,121.76,112.55,109.99,116.48,104.90,   nan,   nan,   nan,   nan,   nan,   nan,   nan,   nan,   nan
198112,127.80,140.54,115.75,131.38,145.04,118.00,139.53,160.98,118.50,121.18,125.18,117.30,117.66,122.44,113.32,109.73,115.54,105.18,   nan,   nan,   nan,   nan,   nan,   nan,   nan,   nan,   nan
198201,130.65,143.40,118.57,134.38,148.17,120.84,142.46,164.37,120.97,124.28,127.99,120.62,120.50,124.41,117.05,111.86,117.02,107.97,   nan,   nan,   nan,   nan,   nan,   nan,   nan,   nan,   nan
198202,123.81,137.22,111.29,126.37,140.64,112.63,132.14,154.09,111.00,119.18,123.85,114.76,116.70,121.72,112.30,111.03,117.29,106.05,   nan,   nan,   nan,   nan,   nan,   nan,   nan,   nan,   nan
198203,120.03,134.24,106.93,122.31,137.25,108.14,126.58,148.24,105.86,117.00,123.49,111.13,114.48,121.15,108.66,108.69,116.31,102.35,   nan,   nan,   nan,   nan,   nan,   nan,   nan,   nan,   nan
198204,122.63,137.23,109.18,125.28,140.83,110.58,130.29,153.26,108.46,119.04,125.30,113.35,116.11,122.43,110.60,109.38,116.47,103.57,   nan,   nan,   nan,   nan,   nan,   nan,   nan,   nan,   nan
198205,122.74,136.36,110.07,125.49,140.12,111.50,130.79,152.59,109.81,118.90,124.54,113.71,115.88,121.40,111.05,108.96,114.88,104.29,   nan,   nan,   nan,   nan,   nan,   nan,   nan,   nan,   nan
198206,120.86,134.37,108.31,123.25,137.62,109.49,127.65,148.58,107.43,117.78,123.91,112.20,115.10,121.09,109.87,108.98,115.32,103.90,   nan,   nan,   nan,   nan,   nan,   nan,   nan,   nan,   nan
198207,118.93,132.09,106.68,121.05,134.85,107.79,124.17,143.93,104.95,117.22,123.50,111.53,114.54,120.83,109.05,108.42,115.37,102.73,   nan,   nan,   nan,   nan,   nan,   nan,   nan,   nan,   nan
198208,118.87,132.46,106.27,121.41,135.90,107.62,126.02,146.75,106.01,115.70,122.35,109.72,112.78,119.15,107.24,106.13,112.59,100.89,   nan,   nan,   nan,   nan,   nan,   nan,   nan,   nan,   nan
198209,118.04,131.11,105.87,120.78,134.94,107.26,125.22,145.83,105.32,115.29,121.32,109.80,111.93,117.44,107.11,104.28,109.51,100.23,   nan,   nan,   nan,   nan,   nan,   nan,   nan,   nan,   nan
198210,122.79,135.29,111.01,126.07,139.55,112.94,132.05,152.68,111.90,118.63,123.15,114.32,114.88,119.34,110.94,106.28,111.57,102.21,   nan,   nan,   nan,   nan,   nan,   nan,   nan,   nan,   nan
198211,131.65,143.87,119.93,135.44,148.58,122.37,142.62,163.73,121.72,126.50,129.66,123.21,122.24,125.77,119.07,112.48,117.83,108.41,   nan,   nan,   nan,   nan,   nan,   nan,   nan,   nan,   nan
198212,135.50,147.64,123.80,139.99,153.03,126.88,149.25,171.35,127.38,128.42,130.15,126.23,123.67,126.28,121.27,112.78,118.38,108.47,   nan,   nan,   nan,   nan,   nan,   nan,   nan,   nan,   nan
