"野村日本株高配当SMART50 日次指数値"
※  2008年1月31日 = 10000
,円ベース,
年月日,配当除く,配当含む
20080131,10000.00,10000.00
20080201,9934.32,9934.32
20080204,10095.82,10095.82
20080205,10080.86,10080.86
20080206,9620.31,9620.31
20080207,9733.27,9733.27
20080208,9575.05,9575.05
20080212,9554.12,9554.12
20080213,9567.57,9567.57
20080214,9895.50,9895.50
20080215,9933.75,9933.75
20080218,9937.95,9937.95
20080219,10021.96,10021.96
20080220,9741.29,9741.29
20080221,9979.86,9979.86
20080222,9894.40,9894.40
20080225,10076.14,10076.14
20080226,10007.97,10010.07
20080227,10116.46,10118.58
20080228,10059.86,10061.97
20080229,9909.13,9911.21
20080303,9526.16,9528.16
20080304,9475.08,9477.07
20080305,9484.23,9486.22
20080306,9628.61,9630.63
20080307,9354.42,9356.39
20080310,9158.55,9160.47
20080311,9230.56,9232.50
20080312,9345.61,9347.57
20080313,9122.17,9124.08
20080314,8954.85,8956.73
20080317,8614.24,8616.05
20080318,8679.79,8681.61
20080319,8908.28,8910.15
20080321,9090.45,9092.36
20080324,9178.44,9180.37
20080325,9300.99,9302.94
20080326,9235.98,9371.04
20080327,9253.71,9389.04
20080328,9351.28,9488.03
20080331,9075.51,9208.23
20080401,9182.61,9316.89
20080402,9542.50,9682.05
20080403,9652.47,9793.63
20080404,9563.34,9703.20
20080407,9617.66,9758.31
20080408,9523.57,9662.84
20080409,9386.45,9523.72
20080410,9245.14,9380.35
20080411,9424.12,9561.94
20080414,9179.42,9313.66
20080415,9256.86,9392.24
20080416,9361.91,9498.82
20080417,9519.19,9658.40
20080418,9634.70,9775.60
20080421,9805.22,9948.62
20080422,9693.29,9835.05
20080423,9721.76,9863.94
20080424,9668.35,9809.74
20080425,9886.47,10031.05
20080428,9988.09,10134.15
20080430,9897.27,10042.00
20080501,9813.65,9957.17
20080502,10063.93,10211.11
20080507,10231.33,10380.96
20080508,10096.14,10243.79
20080509,9806.42,9949.83
20080512,9805.33,9948.72
20080513,9903.86,10048.70
20080514,10080.12,10227.53
20080515,10258.91,10408.94
20080516,10334.50,10485.64
20080519,10363.98,10515.55
20080520,10348.56,10499.89
20080521,10135.96,10284.19
20080522,10226.16,10375.71
20080523,10197.40,10346.53
20080526,9960.26,10105.92
20080527,10132.14,10282.93
20080528,9974.29,10122.74
20080529,10187.56,10339.18
20080530,10390.95,10545.60
20080602,10407.90,10562.79
20080603,10250.47,10403.02
20080604,10402.25,10557.06
20080605,10417.48,10572.52
20080606,10459.63,10615.30
20080609,10241.09,10393.51
20080610,10154.99,10306.12
20080611,10176.72,10328.18
20080612,9930.45,10078.24
20080613,9921.32,10068.98
20080616,10151.17,10302.25
20080617,10166.84,10318.16
20080618,10233.35,10385.65
20080619,9977.12,10125.60
20080620,9882.84,10029.93
20080623,9836.38,9982.77
20080624,9800.87,9946.73
20080625,9778.36,9933.14
20080626,9774.65,9929.37
20080627,9588.80,9740.58
20080630,9628.31,9780.72
20080701,9673.22,9826.34
20080702,9550.95,9702.13
20080703,9533.65,9684.56
20080704,9533.42,9684.32
20080707,9639.06,9791.64
20080708,9446.44,9595.97
20080709,9483.36,9633.47
20080710,9525.63,9676.41
20080711,9468.11,9617.98
20080714,9399.47,9548.25
20080715,9208.43,9354.19
20080716,9184.77,9330.16
20080717,9262.15,9408.76
20080718,9192.58,9338.09
20080722,9418.17,9567.25
20080723,9540.46,9691.48
20080724,9754.05,9908.45
20080725,9567.47,9718.91
20080728,9601.71,9756.02
20080729,9441.24,9592.98
20080730,9641.65,9796.60
20080731,9689.33,9845.05
20080801,9521.63,9674.66
20080804,9395.48,9546.47
20080805,9414.28,9565.58
20080806,9624.67,9779.35
20080807,9518.31,9671.28
20080808,9547.09,9700.52
20080811,9672.29,9827.74
20080812,9632.94,9787.75
20080813,9494.69,9647.28
20080814,9449.37,9601.23
20080815,9493.94,9646.52
20080818,9581.82,9735.81
20080819,9386.27,9537.12
20080820,9349.08,9499.33
20080821,9291.88,9441.21
20080822,9234.02,9382.42
20080825,9377.25,9527.95
20080826,9287.59,9441.24
20080827,9301.47,9455.36
20080828,9305.91,9459.86
20080829,9519.05,9676.54
20080901,9332.89,9487.29
20080902,9170.56,9322.28
20080903,9282.55,9436.12
20080904,9200.98,9353.20
20080905,9040.41,9189.97
20080908,9235.78,9388.57
20080909,9114.50,9265.29
20080910,9205.54,9357.83
20080911,9030.19,9179.59
20080912,9083.32,9233.59
20080916,8735.67,8880.19
20080917,8772.33,8917.45
20080918,8606.95,8749.34
20080919,8807.78,8953.50
20080922,8983.21,9131.83
20080924,9025.59,9174.91
20080925,8897.22,9151.12
20080926,8911.85,9166.17
20080929,8761.49,9011.52
20080930,8463.63,8705.16
20081001,8556.45,8800.63
20081002,8477.57,8719.50
20081003,8276.02,8512.19
20081006,7972.02,8199.52
20081007,7728.08,7948.62
20081008,7128.88,7332.32
20081009,7038.17,7239.02
20081010,6392.70,6575.13
20081014,7205.76,7411.39
20081015,7234.21,7440.65
20081016,6577.98,6765.70
20081017,6849.09,7044.54
20081020,7132.17,7335.70
20081021,7355.87,7565.79
20081022,6936.31,7134.26
20081023,6871.19,7067.28
20081024,6458.96,6643.28
20081027,6098.14,6272.17
20081028,6394.91,6577.40
20081029,6851.99,7047.53
20081030,7437.97,7650.22
20081031,6995.38,7195.01
20081104,7286.71,7494.65
20081105,7793.98,8016.40
20081106,7280.35,7488.11
20081107,6961.85,7160.52
20081110,7301.30,7509.66
20081111,7092.57,7294.98
20081112,6906.12,7103.20
20081113,6578.59,6766.33
20081114,6689.36,6880.25
20081117,6715.31,6906.94
20081118,6610.06,6798.70
20081119,6532.25,6718.66
20081120,6103.76,6277.94
20081121,6300.77,6480.57
20081125,6467.28,6653.69
20081126,6352.86,6535.97
20081127,6508.58,6696.18
20081128,6632.27,6823.43
20081201,6583.51,6773.27
20081202,6214.16,6393.28
20081203,6289.13,6470.40
20081204,6241.97,6421.89
20081205,6215.97,6395.14
20081208,6460.30,6646.50
20081209,6550.72,6739.53
20081210,6743.33,6937.70
20081211,6915.47,7114.80
20081212,6567.83,6757.14
20081215,6871.77,7069.83
20081216,6714.26,6907.79
20081217,6731.26,6925.27
20081218,6707.20,6900.53
20081219,6638.70,6830.05
20081222,6742.79,6937.14
20081224,6574.27,6763.76
20081225,6673.21,6881.86
20081226,6740.67,6951.44
20081229,6795.19,7007.67
20081230,6840.38,7054.26
20090105,7023.57,7243.19
20090106,7074.87,7296.09
20090107,7261.62,7488.67
20090108,6989.92,7208.48
20090109,6947.14,7164.36
20090113,6615.87,6822.73
20090114,6637.04,6844.57
20090115,6431.74,6632.85
20090116,6608.64,6815.28
20090119,6610.67,6817.37
20090120,6526.15,6730.21
20090121,6378.27,6577.71
20090122,6403.12,6603.34
20090123,6222.57,6417.13
20090126,6186.72,6380.17
20090127,6506.59,6710.45
20090128,6551.29,6756.55
20090129,6664.44,6873.24
20090130,6395.21,6595.58
20090202,6295.58,6492.82
20090203,6359.71,6558.97
20090204,6612.16,6819.32
20090205,6680.97,6890.30
20090206,6713.50,6923.84
20090209,6649.34,6857.68
20090210,6564.05,6769.71
20090212,6381.03,6580.96
20090213,6373.53,6573.22
20090216,6344.71,6543.50
20090217,6186.32,6380.14
20090218,6150.35,6343.04
20090219,6164.09,6357.22
20090220,6063.83,6253.82
20090223,5997.19,6185.09
20090224,5930.55,6116.36
20090225,6130.75,6322.84
20090226,6106.27,6297.59
20090227,6216.99,6411.78
20090302,5987.43,6175.02
20090303,5934.31,6120.24
20090304,6010.67,6199.00
20090305,6167.79,6361.03
20090306,5938.86,6124.93
20090309,5895.11,6079.81
20090310,5826.56,6009.11
20090311,6077.45,6267.86
20090312,5909.37,6094.52
20090313,6161.97,6355.04
20090316,6333.43,6531.86
20090317,6525.38,6729.83
20090318,6599.21,6805.97
20090319,6536.53,6741.33
20090323,6857.28,7072.13
20090324,7109.35,7332.09
20090325,7128.96,7352.32
20090326,7189.91,7504.22
20090327,7178.31,7492.12
20090330,6761.70,7057.29
20090331,6608.21,6897.09
20090401,6830.81,7129.42
20090402,7200.63,7515.41
20090403,7356.70,7678.31
20090406,7463.39,7789.65
20090407,7419.09,7743.42
20090408,7187.54,7501.74
