公表日,時刻,コード,会社名,種別,市場,33業種,基準日,終値,PBR,業種平均PBR,業種相対PBR,開示タイトル
2024-01-05,15:00,9977,アオキスーパー,MBO,スタンダード市場,小売業,2024-01-05,2640.0,0.68,1.4,0.486,ＭＢＯの実施及び応募の推奨に関するお知らせ
2024-01-19,15:00,5127,Ｇ－グッピーズ,賛同,グロース市場,情報・通信業,2024-01-19,1796.0,2.79,3.9,0.715,株式会社メドレーによる当社株券等に対する公開買付けに関する意見表明のお知らせ
2024-01-24,16:30,4489,Ｇ－ペイロール,MBO,グロース市場,情報・通信業,2024-01-24,1004.0,1.29,3.9,0.331,MBOの実施及び応募の推奨に関するお知らせ
2024-01-30,16:00,5781,東邦金属,賛同,スタンダード市場,非鉄金属,2024-01-30,1300.0,0.82,0.7,1.171,太陽鉱工株式会社による当社株式に対する公開買付けに関する賛同の意見表明及び応募推奨のお知らせ
2024-02-06,15:33,2651,ローソン,賛同,プライム市場,小売業,2024-02-06,8913.0,3.13,1.9,1.647,ＫＤＤＩ株式会社による当社株券等に対する公開買付けの開始予定に関する賛同の意見表明及び応募推奨並びに資本業務提携のお知らせ
2024-02-08,16:00,6556,ウェルビー,MBO,プライム市場,サービス業,2024-02-08,838.0,5.15,2.1,2.452,ＭＢＯの実施及び応募の推奨に関するお知らせ
2024-02-09,17:00,6789,ローランドＤＧ,MBO,プライム市場,電気機器,2024-02-09,3870.0,1.27,1.9,0.668,ＭＢＯの実施及び応募の推奨に関するお知らせ
2024-02-20,16:00,7816,スノーピーク,MBO,プライム市場,その他製品,2024-02-20,1138.0,2.81,1.4,2.007,ＭＢＯの実施及び応募の推奨に関するお知らせ
2024-03-01,20:55,7676,Ｇ－グッドスピード,賛同,グロース市場,小売業,2024-03-01,819.0,,,,株式会社宇佐美鉱油による当社株券等に対する公開買付けの開始予定に係る意見表明に関するお知らせ
2024-03-18,16:30,4185,ＪＳＲ,賛同,プライム市場,化学,2024-03-18,4321.0,2.39,1.2,1.992,JICC-02株式会社による当社株式等に対する公開買付けに関する賛同の意見表明及び応募推奨に関するお知らせ
2024-03-21,18:30,9099,Ｃ＆ＦロジＨＤ,賛同,プライム市場,陸運業,2024-03-21,2041.0,0.96,1.2,0.8,ＡＺ-ＣОМ丸和ホールディングス株式会社による当社株式に対する公開買付けの開始予定に関するお知らせ
2024-03-25,19:40,6938,双信電機,賛同,スタンダード市場,電気機器,2024-03-25,311.0,0.44,0.9,0.489,親会社である華新科技股有限公司の子会社である釜屋電機株式会社による当社株式に対する公開買付けに関する賛同の意見表明及び応募推奨のお知らせ
2024-03-28,16:00,4930,グラフィコ,賛同,スタンダード市場,化学,2024-03-28,2713.0,1.04,0.8,1.3,Church &amp; Dwight Japan合同会社による当社株券等に対する公開買付けの開始予定に関する賛同の意見表明及び応募推奨のお知らせ
2024-04-05,17:30,9717,ジャステック,賛同,プライム市場,情報・通信業,2024-04-05,1410.0,1.16,2.5,0.464,株式会社NTTデータによる当社株券等に対する公開買付けに関する賛同の意見表明及び応募推奨のお知らせ
2024-04-08,17:30,4714,リソー教育,賛同,プライム市場,サービス業,2024-04-08,223.0,2.88,2.1,1.371,ヒューリック株式会社による当社株式に対する公開買付けに関する意見表明、同社との資本業務提携契約の変更、第三者割当による新株式発行に関するお知らせ
2024-04-15,15:30,7074,Ｇ－２４７,賛同,グロース市場,サービス業,2024-04-15,339.0,13.29,3.2,4.153,いなよしキャピタルパートナーズによる当社株式に対する公開買付けに関する意見表明、同社及びNOVAホールディングス等との資本業務提携締結ほかに関するお知らせ
2024-04-25,19:45,4726,ＳＢテクノロジー,賛同,プライム市場,情報・通信業,2024-04-25,2046.0,1.39,2.5,0.556,当社親会社であるソフトバンク株式会社による当社株式等に対する公開買付けに関する賛同の意見表明及び応募推奨のお知らせ
2024-04-25,15:00,8155,三益半導,賛同,プライム市場,金属製品,2024-04-25,2732.0,1.08,0.8,1.35,当社関係会社である信越化学工業株式会社による当社株式に対する公開買付けの開始予定に関する賛同の意見表明及び応募推奨のお知らせ
