順位,順位変動,順位連騰日数,前日順位,コード,銘柄名,市場,株価,前日比,前日比%,前日比%連騰日数,売買代金(百万円),売買代金前日比(百万円),売買代金変動%,売買代金連騰日数,PER,PBR,利回り
"1","→","0","1","285A","キオクシア","東Ｐ","53,990","-4,100","-7.06","0","1,485,668","-109,279","-6.9%","0","－","11.95","－"
"2","→","0","2","9984","ＳＢＧ","東Ｐ","6,530","-280","-4.11","0","426,558","-94,554","-18.1%","0","－","2.02","0.17"
"3","↑1","1","4","6857","アドテスト","東Ｐ","31,730","-2,190","-6.46","0","330,303","+51,123","+18.3%","1","34.7","21.97","－"
"4","↓1","0","3","6976","太陽誘電","東Ｐ","9,204","-199","-2.12","0","280,602","-25,032","-8.2%","0","42.0","3.31","0.98"
"5","↑3","2","8","1570","日経レバ","東Ｅ","64,670","-2,500","-3.72","0","190,083","+49,765","+35.5%","2","－","－","－"
"6","↓1","0","5","5803","フジクラ","東Ｐ","5,002","-207","-3.97","1","184,470","+14,237","+8.4%","1","25.4","13.61","0.76"
"7","↑3","1","10","8035","東エレク","東Ｐ","51,440","-1,370","-2.59","0","176,308","+45,788","+35.1%","1","－","10.99","－"
"8","↑4","1","12","8306","三菱ＵＦＪ","東Ｐ","3,668.0","+6.0","+0.16","0","171,000","+66,236","+63.2%","2","15.3","1.82","2.62"
"9","↓2","0","7","6981","村田製","東Ｐ","7,347","-178","-2.37","0","162,145","+16,848","+11.6%","2","39.4","4.83","0.95"
"10","↓4","0","6","4062","イビデン","東Ｐ","19,540","-1,140","-5.51","0","157,783","+484","+0.3%","1","65.7","9.64","0.18"
"11","↓2","0","9","6920","レーザーテク","東Ｐ","34,480","-1,840","-5.07","0","99,207","-37,272","-27.3%","0","34.3","12.52","1.02"
"12","↑1","1","13","5801","古河電","東Ｐ","3,987","-37","-0.92","1","89,864","+9,395","+11.7%","1","26.7","6.42","0.55"
"13","↑5","2","18","8316","三井住友ＦＧ","東Ｐ","6,943","+42","+0.61","0","86,305","+35,163","+68.8%","1","15.5","1.63","2.59"
"14","↑7","1","21","8411","みずほＦＧ","東Ｐ","8,666","+60","+0.70","0","85,300","+35,532","+71.4%","1","15.0","1.82","1.73"
"15","→","0","15","9983","ファストリ","東Ｐ","66,670","-140","-0.21","2","82,856","+17,786","+27.3%","3","40.9","7.50","0.96"
"16","↓5","0","11","7974","任天堂","東Ｐ","8,068","+79","+0.99","1","71,828","-33,991","-32.1%","0","30.0","3.19","2.01"
"17","↓3","0","14","6146","ディスコ","東Ｐ","51,960","-1,620","-3.02","0","68,389","-10,216","-13.0%","0","－","9.70","－"
"18","↑6","1","24","7203","トヨタ","東Ｐ","3,030.0","+36.0","+1.20","1","67,785","+30,439","+81.5%","1","11.0","0.96","3.30"
"19","→","0","19","6098","リクルート","東Ｐ","15,570","-280","-1.77","0","60,751","+10,291","+20.4%","1","28.6","12.16","0.17"
"20","↓4","0","16","6525","コクサイエレ","東Ｐ","8,143","-678","-7.69","0","59,705","-4,850","-7.5%","0","34.2","8.44","0.80"
"21","↓4","0","17","5016","ＪＸ金属","東Ｐ","3,698","-114","-2.99","0","56,259","-3,142","-5.3%","0","23.4","5.14","0.54"
"22","↑20","1","42","485A","ＰｏｗｅｒＸ","東Ｇ","2,144","+69","+3.33","1","47,381","+26,948","+131.9%","1","199","38.53","－"
"23","→","0","23","7011","三菱重","東Ｐ","3,695","-28","-0.75","1","44,600","+2,017","+4.7%","1","32.7","3.92","0.78"
"24","↓4","0","20","6203","豊和工","東Ｓ","2,844","+500","+21.33","2","44,054","-6,254","-12.4%","0","31.6","1.53","0.70"
"25","↑8","4","33","8766","東京海上","東Ｐ","7,929","+135","+1.73","2","42,435","+17,531","+70.4%","1","18.0","1.83","3.09"
"26","↑8","1","34","6758","ソニーＧ","東Ｐ","3,630.0","-10.0","-0.27","0","42,363","+17,596","+71.0%","1","17.5","2.53","0.96"
"27","↑8","2","35","8058","三菱商","東Ｐ","4,983","-4","-0.08","1","41,498","+17,906","+75.9%","1","16.6","1.89","2.51"
"28","↑13","1","41","6501","日立","東Ｐ","5,186","+4","+0.08","1","39,591","+18,649","+89.1%","1","25.6","3.51","－"
"29","↑29","1","58","4004","レゾナック","東Ｐ","14,290","-1,715","-10.72","0","39,278","+23,534","+149.5%","1","24.1","3.44","0.45"
"30","→","0","30","6861","キーエンス","東Ｐ","75,880","-620","-0.81","0","38,847","+9,668","+33.1%","3","－","5.19","0.72"
"31","↓9","0","22","5706","三井金属","東Ｐ","23,280","-1,425","-5.77","1","38,673","-7,132","-15.6%","0","16.6","3.16","1.20"
"32","↑15","1","47","278A","テラドローン","東Ｇ","20,490","+1,250","+6.50","2","37,847","+19,164","+102.6%","1","－","47.56","－"
"33","↑4","1","37","4063","信越化","東Ｐ","5,739","-23","-0.40","0","37,679","+15,073","+66.7%","1","19.8","2.29","2.02"
